loss,mape,val_loss,val_mape
0.034409698098897934,207715.46875,0.007870529778301716,359149.15625
0.0076197674497962,76531.3125,0.006027376279234886,253342.578125
0.006993688642978668,72865.0625,0.006059514358639717,259175.65625
0.006466572172939777,62703.953125,0.005535225849598646,250613.34375
0.006160363554954529,61063.71875,0.004974903538823128,242428.3125
0.0059145353734493256,65083.26953125,0.004776747431606054,233459.53125
0.005630945321172476,63037.41015625,0.0045405360870063305,234826.390625
0.005373875144869089,56033.4453125,0.004398508928716183,236427.890625
0.00518861785531044,52409.46875,0.004408440552651882,249894.421875
0.005072446074336767,63163.12109375,0.0045875017531216145,212671.609375
0.004864088259637356,71010.1484375,0.004273121245205402,239722.15625
0.00481795147061348,57693.75390625,0.004321401007473469,209289.875
0.004544077906757593,61023.96484375,0.004022040404379368,214299.640625
0.004548720549792051,59537.74609375,0.0038170714396983385,230718.421875
0.00450443709269166,63648.84765625,0.003827639389783144,234897.75
0.004413464106619358,67591.2890625,0.004159708507359028,210989.78125
0.0043585947714746,57326.44921875,0.0037064985372126102,222165.3125
0.004362951032817364,60250.87109375,0.00370826106518507,222818.484375
0.00423526531085372,61751.90234375,0.003663854906335473,215192.703125
0.004278975073248148,66192.546875,0.004598470404744148,207660.734375
0.004217176232486963,60116.09375,0.0037471770774573088,218893.8125
0.004191653337329626,62269.63671875,0.003611216554418206,221856.71875
0.00412491150200367,55840.82421875,0.0035998269449919462,223648.609375
0.0041125002317130566,55205.6171875,0.005000912584364414,189732.359375
0.00406121788546443,57109.83203125,0.0036544217728078365,227105.484375
0.004072700161486864,60537.546875,0.0036628437228500843,223977.359375
0.004046535585075617,53913.34765625,0.003531011054292321,215656.140625
0.004002843983471394,61173.828125,0.005042337812483311,185484.8125
0.003980608657002449,48841.0078125,0.0034965730737894773,206694.375
0.003917361609637737,55768.9375,0.003602053737267852,200199.59375
0.003900256473571062,53964.7578125,0.0036724465899169445,203819.53125
0.003833039430901408,52451.94921875,0.003601689590141177,216854.1875
0.0038255813997238874,47073.5,0.003398443339392543,200221.984375
0.0037416466511785984,50161.1328125,0.0033871810883283615,195712.859375
0.003738905768841505,54169.890625,0.003656751709058881,186471.0
0.003680370282381773,54762.7265625,0.0034148632548749447,181830.484375
0.0036901209969073534,50945.64453125,0.0032390919514000416,188648.328125
0.0036289996933192015,51175.20703125,0.0035257688723504543,173414.890625
0.0035361680202186108,51351.00390625,0.003479272359982133,188894.765625
0.0035276461858302355,59614.578125,0.0031907111406326294,166865.0
0.0034902358893305063,44839.89453125,0.0036582995671778917,152438.296875
0.00344937015324831,51270.859375,0.0031050159595906734,173492.171875
0.0034586191177368164,38363.88671875,0.0032752130646258593,152415.0
0.0033821165561676025,40848.19921875,0.003045711200684309,162533.828125
0.003398018190637231,41272.9453125,0.0030112024396657944,160275.296875
0.0033509216737002134,38134.46484375,0.003000636352226138,161128.28125
